Date,HDFC_FLEXI_CAP,SBI_SMALL_CAP,AXIS_MIDCAP,ICICI_PRU_BLUECHIP,HDFC_SHORT_TERM_DEBT,MIRAE_ASSET_ELSS_TAX_SAVER,ICICI_PRU_EQUITY_DEBT_HYBRID,MOTILAL_OSWAL_NASDAQ100_FOF,FIXED_DEPOSIT,PPF
2023-06-01,55.4506,60.1504,109.5651,161.0804,44.8228,65.4062,87.9459,58.1502,133.7179,135.3849
2023-07-01,59.4452,55.756,106.708,162.8847,45.0063,64.3186,86.8022,62.4253,134.453,136.161
2023-08-01,63.4025,51.3601,113.7206,158.051,45.6663,67.7013,84.4936,62.6182,135.1922,136.9415
2023-09-01,61.4664,53.8666,109.8538,160.4641,46.207,70.3667,80.9437,61.4683,135.9354,137.7265
2023-10-01,61.3761,55.6559,110.6323,157.3334,47.0434,67.7312,85.1949,66.4751,136.6827,138.516
2023-11-01,63.4421,57.3254,115.5725,166.2708,46.9443,68.9845,87.5993,64.4876,137.4341,139.31
2023-12-01,67.8195,59.426,123.261,167.0979,47.5167,72.5982,88.2764,59.6758,138.1896,140.1086
2024-01-01,67.0877,57.3775,116.0229,162.693,48.2492,67.2693,89.8137,54.6615,138.9493,140.9118
2024-02-01,67.4439,59.0261,115.2993,162.1923,47.8159,70.066,87.7339,57.5761,139.7131,141.7196
2024-03-01,64.3961,60.9708,113.5986,167.1942,47.6247,68.5884,94.747,53.7481,140.4812,142.532
2024-04-01,61.1687,58.724,110.6945,164.8082,47.0813,71.5371,95.9848,60.5353,141.2535,143.349
2024-05-01,64.8424,67.0574,124.0959,160.4885,47.2657,69.6543,97.1838,53.4293,142.03,144.1708
2024-06-01,70.6703,70.1064,128.8851,164.1833,47.8548,64.0511,100.1269,59.9782,142.8108,144.9972
2024-07-01,71.486,65.2064,120.8433,167.9729,48.7766,59.4889,102.4517,61.6717,143.5959,145.8284
2024-08-01,76.5282,68.9968,129.2641,166.0163,49.1127,60.4312,104.0701,62.2077,144.3852,146.6643
2024-09-01,79.2317,65.2098,147.7089,164.3579,50.1124,62.053,102.6666,60.9776,145.179,147.5051
2024-10-01,77.6556,69.5901,159.028,168.0534,49.8266,59.9651,105.0222,63.4278,145.9771,148.3507
2024-11-01,80.3979,76.0558,146.6135,158.7907,49.403,62.7549,111.7082,64.2171,146.7796,149.2011
2024-12-01,88.4257,72.6929,144.3683,150.3365,49.688,58.1742,117.0894,69.6693,147.5865,150.0563
2025-01-01,89.6218,78.4637,157.4833,147.1168,50.1638,58.7506,123.5673,71.2081,148.3978,150.9165
2025-02-01,98.7013,81.6996,152.9386,147.3975,50.4632,55.8374,122.8971,72.9441,149.2136,151.7817
2025-03-01,86.0481,87.3855,159.2009,151.2485,49.875,54.6912,120.5333,72.3416,150.0339,152.6517
2025-04-01,91.2602,99.9738,168.9124,163.3348,50.1483,55.5555,121.2206,73.1531,150.8587,153.5268
2025-05-01,93.1097,99.538,161.7926,171.727,49.8952,53.813,122.547,75.6682,151.688,154.4069
2025-06-01,93.0251,95.5984,163.4807,172.4791,50.4964,53.4556,127.5616,68.5722,152.5219,155.292
2025-07-01,94.9344,90.9155,133.6537,174.3571,50.9723,56.9639,122.5198,63.7181,153.3604,156.1822
2025-08-01,86.0558,86.9262,127.2305,168.3351,50.876,56.0163,129.0731,67.671,154.2034,157.0775
2025-09-01,86.3521,87.5607,127.0689,170.1719,50.9675,59.1961,129.6891,69.4091,155.0512,157.9779
2025-10-01,89.3813,90.7372,119.2413,169.9054,50.8186,56.511,129.3014,69.6277,155.9035,158.8835
2025-11-01,98.0112,93.6237,132.7158,174.4372,51.1086,58.8207,126.7304,70.742,156.7606,159.7943
2025-12-01,96.7434,100.1727,123.0732,169.8248,51.8508,64.0115,121.8591,73.3529,157.6224,160.7103
2026-01-01,93.9521,101.5293,121.5182,175.8968,51.7322,56.6445,125.8922,71.9265,158.4889,161.6316
2026-02-01,92.822,113.0372,124.1876,190.419,52.2814,55.0547,127.3336,69.4382,159.3601,162.5582
2026-03-01,98.9204,112.3935,136.782,191.703,52.368,57.4401,123.7804,71.3318,160.2362,163.49
2026-04-01,102.2365,134.9959,126.7965,197.5156,52.3357,57.6004,120.3081,67.9577,161.1171,164.4272
2026-05-01,100.8497,142.5542,137.5178,206.1358,52.6143,59.4797,120.2648,70.7277,162.0028,165.3698
2026-06-01,105.2511,135.8906,139.5341,204.7413,52.4715,58.4066,127.1817,64.1292,162.8934,166.3177
2026-07-01,107.442,127.5263,133.191,209.2696,52.5478,59.4486,127.4156,69.2719,163.7889,167.2711
2026-08-01,114.8147,133.4012,138.7924,211.8537,52.3311,59.7608,123.076,72.3786,164.6893,168.23
