Date,NIFTY50,RELIANCE,TCS,INFY,HDFCBANK,ICICIBANK,SBIN,ITC,SUNPHARMA,MARUTI,BHARTIARTL,LT
2023-08-01,13472.14,2014.73,4414.12,2319.96,2357.32,566.59,646.80,358.68,793.38,15035.58,961.20,6402.68
2023-09-01,14129.68,1883.71,4503.32,2435.25,2386.26,583.45,609.42,342.58,829.41,15077.81,1071.27,6455.91
2023-10-01,13795.99,1751.90,4396.21,2556.92,2694.60,588.70,656.86,355.62,864.55,17161.27,1037.41,7000.06
2023-11-01,13761.82,1831.55,4642.97,2582.41,2992.24,586.93,734.28,368.74,928.69,16641.41,1184.24,7306.04
2023-12-01,14087.70,1887.67,4501.86,2471.91,2976.85,560.83,764.80,365.78,983.47,16987.85,1196.29,7214.29
2024-01-01,14801.75,1939.77,4521.50,2509.92,3166.57,547.26,889.05,374.34,1019.19,17055.29,1101.89,7634.47
2024-02-01,14664.01,2005.49,4689.85,2434.79,3308.66,581.18,847.05,354.57,1024.42,18613.64,1125.62,6487.13
2024-03-01,14700.91,1942.58,4956.52,2610.75,3597.02,607.30,779.01,373.67,939.31,22288.39,1089.70,7023.69
2024-04-01,14199.61,1993.88,4705.12,2615.32,3440.71,577.72,688.29,372.94,971.77,21593.37,1167.09,6383.10
2024-05-01,13665.67,2054.46,4672.00,2514.33,3603.12,588.48,777.57,366.10,992.55,20980.15,1132.00,6306.06
2024-06-01,14264.03,1985.68,4605.38,2492.25,3851.07,624.79,824.66,388.20,1017.52,22669.46,1113.11,5950.43
2024-07-01,15219.38,2260.92,4497.82,2582.81,3526.77,568.81,829.22,377.69,953.92,23887.64,994.51,5555.60
2024-08-01,15327.92,2356.51,4981.08,2522.80,3333.35,595.97,855.07,354.99,904.45,27286.85,977.51,6019.52
2024-09-01,16123.05,2209.66,5139.76,2425.86,3006.05,578.40,793.45,331.23,970.00,28558.67,842.92,5909.04
2024-10-01,16525.13,2329.96,4863.73,2488.35,2987.23,607.08,962.60,343.67,976.70,27998.98,768.55,6094.09
2024-11-01,16261.93,2215.03,5154.22,2552.65,3133.64,585.42,981.44,325.05,1025.25,29317.66,818.76,6136.80
2024-12-01,16667.30,2355.07,5814.78,2501.94,3431.83,528.40,999.16,356.82,1036.39,31820.26,873.72,6379.26
2025-01-01,17914.75,2563.74,6198.87,2457.57,3475.21,482.34,1065.37,324.47,1047.73,33853.68,910.33,6472.34
2025-02-01,18068.92,2461.24,5787.70,2519.10,3832.34,489.73,1115.28,355.16,1116.24,35243.91,864.71,6047.17
2025-03-01,19442.17,2646.30,5702.42,2332.12,3583.27,503.96,1145.22,361.43,1093.45,38141.17,873.08,6487.09
2025-04-01,17665.00,2747.51,6153.60,2164.35,3291.50,481.65,1089.75,362.29,1109.66,41571.11,884.11,6357.98
2025-05-01,18445.47,2927.71,5992.95,2094.32,3309.49,507.71,1139.99,355.25,1090.39,45982.65,829.21,5842.61
2025-06-01,18696.82,3340.10,6196.35,2089.55,3408.78,462.45,1325.72,364.87,1073.17,48342.35,928.05,5749.16
2025-07-01,18658.20,3325.87,6517.75,2152.14,3431.71,466.15,1480.86,366.80,1063.89,48030.19,996.38,6358.94
2025-08-01,18916.05,3206.50,6275.67,2378.72,3089.96,436.91,1685.20,389.98,1087.54,48768.98,994.52,6761.42
2025-09-01,17631.74,3064.87,6321.17,2532.53,3101.13,424.32,1637.54,394.98,1067.64,53291.87,1009.12,6685.40
2025-10-01,17651.83,2943.24,5396.77,2534.98,2911.63,430.80,1535.11,400.75,1158.49,50616.87,1036.36,6609.99
2025-11-01,18088.73,2962.20,5170.08,2559.20,3046.34,412.88,1535.48,396.48,1110.30,52191.90,916.63,6546.39
2025-12-01,19395.36,3061.53,5155.59,2434.11,3134.73,407.84,1556.92,398.20,1108.50,51048.49,913.32,7498.02
2026-01-01,19184.54,3151.26,4882.03,2457.44,3002.63,440.07,1706.63,407.16,1090.67,51411.79,884.13,7749.45
2026-02-01,18754.74,3359.03,5369.31,2440.70,2944.09,429.43,1517.67,377.06,1196.61,56460.50,837.90,8032.70
2026-03-01,18563.27,3400.07,5036.46,2515.60,2801.62,458.37,1718.86,355.44,1221.42,57505.52,832.99,8634.86
2026-04-01,19456.81,3771.31,4973.66,2418.20,2815.83,431.85,1715.12,371.28,1308.33,57985.80,950.68,8847.30
2026-05-01,19915.54,3750.66,5059.49,2522.30,2992.59,452.09,1677.20,377.09,1211.85,53042.03,1004.78,8795.48
2026-06-01,19689.92,4508.67,5509.50,2797.57,2859.28,501.49,1569.64,376.37,1242.01,56142.13,979.85,8777.26
2026-07-01,20305.00,4744.82,5166.42,2808.98,2964.51,433.88,1399.79,379.41,1319.51,59010.00,1030.92,8825.57
2026-08-01,20590.03,4544.58,5545.22,2909.08,2904.10,417.51,1503.49,388.70,1338.01,68901.76,1145.87,8892.65
